fbTx,lbTx,tId,fbRx,lbRx
2.0,2.00016864,0.0,2.005,2.00516864
2.00516864,2.00533728,1.0,2.01016864,2.01033728
3.0,3.00016864,0.0,3.005,3.00516864
3.00516864,3.00533728,1.0,3.01016864,3.01033728
4.0,4.00016864,0.0,4.005,4.00516864
4.00516864,4.00533728,1.0,4.01016864,4.01033728
5.0,5.00016864,0.0,5.005,5.00516864
5.00516864,5.00533728,1.0,5.01016864,5.01033728
6.0,6.00016864,0.0,6.005,6.00516864
6.00516864,6.00533728,1.0,6.01016864,6.01033728
7.0,7.00016864,0.0,7.005,7.00516864
7.00516864,7.00533728,1.0,7.01016864,7.01033728
8.0,8.00016864,0.0,8.005,8.00516864
8.00516864,8.00533728,1.0,8.01016864,8.01033728
9.0,9.00016864,0.0,9.005,9.00516864
9.00516864,9.00533728,1.0,9.01016864,9.01033728
10.0,10.00016864,0.0,10.005,10.00516864
10.00516864,10.00533728,1.0,10.01016864,10.01033728
11.0,11.00016864,0.0,11.005,11.00516864
11.00516864,11.00533728,1.0,11.01016864,11.01033728
